target,model,MAE,RMSE,R2
Download Speed (Mbps),Linear Regression,225.8577,260.6717,-0.0007
Download Speed (Mbps),Decision Tree,232.8779,272.9838,-0.0975
Download Speed (Mbps),Random Forest,226.9025,262.5617,-0.0153
Download Speed (Mbps),Gradient Boosting,226.0228,260.9158,-0.0026
Download Speed (Mbps),XGBoost,230.6935,268.8915,-0.0648
Latency (ms),Linear Regression,4.788,5.513,-0.0
Latency (ms),Decision Tree,4.9391,5.7633,-0.0929
Latency (ms),Random Forest,4.8189,5.5656,-0.0193
Latency (ms),Gradient Boosting,4.7878,5.5172,-0.0016
Latency (ms),XGBoost,4.8811,5.692,-0.0661
