Feature,Original Min,Original Max,Original Range (Max-Min),Normalized Min,Normalized Max,Normalized Mean,Normalized Std
Signal Strength (dBm),-110.0,-60.0,50.0,0.0,1.0,0.5033,0.2896
Download Speed (Mbps),100.04,999.99,899.95,0.0,1.0,0.5013,0.2894
Upload Speed (Mbps),20.0,150.0,130.0,0.0,1.0,0.4985,0.2892
Latency (ms),1.0,20.0,19.0,0.0,1.0,0.4999,0.2897
Jitter (ms),0.1,5.0,4.9,0.0,1.0,0.5022,0.289
Battery Level (%),10.0,99.0,89.0,0.0,1.0,0.5009,0.2925
Temperature (°C),20.0,45.0,25.0,0.0,1.0,0.498,0.2887
Connected Duration (min),1.0,59.0,58.0,0.0,1.0,0.4975,0.293
Handover Count,0.0,4.0,4.0,0.0,1.0,0.501,0.3544
Data Usage (MB),10.0,500.0,490.0,0.0,1.0,0.4987,0.2877
Video Streaming Quality,1.0,5.0,4.0,0.0,1.0,0.5,0.354
Ping to Google (ms),10.0,100.0,90.0,0.0,1.0,0.4994,0.2887
