,Signal Strength (dBm),Download Speed (Mbps),Upload Speed (Mbps),Latency (ms),Jitter (ms),Battery Level (%),Temperature (°C),Connected Duration (min),Handover Count,Data Usage (MB),Video Streaming Quality,Ping to Google (ms)
Signal Strength (dBm),1.0,0.0005,0.0016,-0.001,0.0033,0.005,0.0018,-0.0062,-0.0064,0.0072,0.0031,0.0036
Download Speed (Mbps),0.0005,1.0,-0.0087,0.0019,0.0018,-0.0033,0.0022,0.0036,-0.0004,-0.0028,0.0061,-0.0064
Upload Speed (Mbps),0.0016,-0.0087,1.0,0.0011,-0.0015,-0.0004,-0.0011,-0.0053,-0.0021,0.0002,-0.0006,-0.0033
Latency (ms),-0.001,0.0019,0.0011,1.0,-0.0062,-0.0073,0.0066,0.0028,-0.0053,-0.0019,0.0011,0.003
Jitter (ms),0.0033,0.0018,-0.0015,-0.0062,1.0,0.003,-0.0047,-0.0041,-0.004,0.0004,0.0052,-0.0027
Battery Level (%),0.005,-0.0033,-0.0004,-0.0073,0.003,1.0,0.0047,-0.002,0.0058,0.0065,0.0011,-0.0003
Temperature (°C),0.0018,0.0022,-0.0011,0.0066,-0.0047,0.0047,1.0,0.0,0.0034,-0.0047,-0.0025,0.0006
Connected Duration (min),-0.0062,0.0036,-0.0053,0.0028,-0.0041,-0.002,0.0,1.0,0.0017,0.0038,-0.0084,0.0028
Handover Count,-0.0064,-0.0004,-0.0021,-0.0053,-0.004,0.0058,0.0034,0.0017,1.0,0.0058,-0.0036,0.0015
Data Usage (MB),0.0072,-0.0028,0.0002,-0.0019,0.0004,0.0065,-0.0047,0.0038,0.0058,1.0,0.0011,-0.0009
Video Streaming Quality,0.0031,0.0061,-0.0006,0.0011,0.0052,0.0011,-0.0025,-0.0084,-0.0036,0.0011,1.0,-0.0034
Ping to Google (ms),0.0036,-0.0064,-0.0033,0.003,-0.0027,-0.0003,0.0006,0.0028,0.0015,-0.0009,-0.0034,1.0
