,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Timestamp,50000,50000,2025-05-28 06:59:51.089339,1,,,,,,,
Location,50000,8,Berlin,6346,,,,,,,
Signal Strength (dBm),50000.0,,,,-84.83727399999998,14.477642504619798,-110.0,-97.4,-84.8,-72.2,-60.0
Download Speed (Mbps),50000.0,,,,551.1810737999999,260.43444319403875,100.04,324.65,552.13,775.875,999.99
Upload Speed (Mbps),50000.0,,,,84.8017556,37.59081142077056,20.0,52.23,84.71,117.32,150.0
Latency (ms),50000.0,,,,10.497243999999998,5.505071200324516,1.0,5.7,10.5,15.3,20.0
Jitter (ms),50000.0,,,,2.560705,1.416085101579456,0.1,1.33,2.57,3.78,5.0
Network Type,50000,3,5G NSA,16793,,,,,,,
Device Model,50000,5,Nord 4,10076,,,,,,,
Carrier,50000,7,AT&T,8382,,,,,,,
Band,50000,5,n78,16694,,,,,,,
Battery Level (%),50000.0,,,,54.57914,26.033889684959536,10.0,32.0,55.0,77.0,99.0
Temperature (°C),50000.0,,,,32.450312000000004,7.216729448048786,20.0,26.2,32.4,38.7,45.0
Connected Duration (min),50000.0,,,,29.85544,16.995327570529042,1.0,15.0,30.0,45.0,59.0
Handover Count,50000.0,,,,2.0042,1.417710322333572,0.0,1.0,2.0,3.0,4.0
Data Usage (MB),50000.0,,,,254.38114459999997,140.98903336706186,10.0,133.2375,252.975,376.425,500.0
Video Streaming Quality,50000.0,,,,2.99998,1.4159449486480582,1.0,2.0,3.0,4.0,5.0
VoNR Enabled,50000,2,True,25055,,,,,,,
Network Congestion Level,50000,3,Low,16791,,,,,,,
Ping to Google (ms),50000.0,,,,54.947062,25.983514139321045,10.0,32.4,55.0,77.4,100.0
Dropped Connection,50000,2,True,25031,,,,,,,
