Column,Unique Count,Sample Values
Timestamp,50000,"['2025-05-28 06:59:51.089339', '2025-05-28 06:49:51.089353', '2025-05-28 06:39:51.089356', '2025-05-28 06:29:51.089360', '2025-05-28 06:19:51.089363']"
Location,8,"['San Francisco', 'Chennai', 'New York', 'Kolkata', 'Mumbai']"
Signal Strength (dBm),501,"[np.float64(-108.6), np.float64(-71.5), np.float64(-67.5), np.float64(-73.3), np.float64(-93.2)]"
Download Speed (Mbps),38384,"[np.float64(714.94), np.float64(686.69), np.float64(796.34), np.float64(208.56), np.float64(409.85)]"
Upload Speed (Mbps),12738,"[np.float64(60.41), np.float64(148.7), np.float64(136.33), np.float64(68.59), np.float64(137.23)]"
Latency (ms),191,"[np.float64(10.0), np.float64(12.3), np.float64(19.9), np.float64(12.2), np.float64(6.3)]"
Jitter (ms),491,"[np.float64(4.09), np.float64(1.5), np.float64(1.22), np.float64(4.94), np.float64(2.94)]"
Network Type,3,"['5G NSA', '4G', '5G SA']"
Device Model,5,"['iPhone 14', 'Pixel 7', 'Galaxy S23', 'GT 7', 'Nord 4']"
Carrier,7,"['AT&T', 'Airtel', 'T-Mobile', 'BSNL', 'Vi']"
Band,5,"['n78', 'n260', 'n41', 'n28', 'n258']"
Battery Level (%),90,"[np.int64(99), np.int64(67), np.int64(77), np.int64(25), np.int64(51)]"
Temperature (°C),251,"[np.float64(35.5), np.float64(22.0), np.float64(36.1), np.float64(39.3), np.float64(22.7)]"
Connected Duration (min),59,"[np.int64(14), np.int64(51), np.int64(45), np.int64(48), np.int64(54)]"
Handover Count,5,"[np.int64(1), np.int64(4), np.int64(2), np.int64(0), np.int64(3)]"
Data Usage (MB),31385,"[np.float64(97.4), np.float64(143.23), np.float64(179.15), np.float64(128.87), np.float64(156.91)]"
Video Streaming Quality,5,"[np.int64(4), np.int64(3), np.int64(5), np.int64(1), np.int64(2)]"
VoNR Enabled,2,"[np.False_, np.True_]"
Network Congestion Level,3,"['High', 'Medium', 'Low']"
Ping to Google (ms),901,"[np.float64(27.9), np.float64(22.2), np.float64(75.5), np.float64(87.5), np.float64(32.5)]"
Dropped Connection,2,"[np.True_, np.False_]"
