Feature,Count,Mean,Median,Mode,Std Dev,Variance,Min,Q1 (25th %),Q3 (75th %),Max,Range,Skewness,Excess Kurtosis
Signal Strength (dBm),50000,-84.8373,-84.8,-78.5,14.4776,209.6021,-110.0,-97.4,-72.2,-60.0,50.0,-0.0114,-1.2124
Download Speed (Mbps),50000,551.1811,552.13,198.97,260.4344,67826.0992,100.04,324.65,775.875,999.99,899.95,-0.0066,-1.2017
Upload Speed (Mbps),50000,84.8018,84.71,54.04,37.5908,1413.0691,20.0,52.23,117.32,150.0,130.0,0.01,-1.204
Latency (ms),50000,10.4972,10.5,8.8,5.5051,30.3058,1.0,5.7,15.3,20.0,19.0,-0.0012,-1.2031
Jitter (ms),50000,2.5607,2.57,4.45,1.4161,2.0053,0.1,1.33,3.78,5.0,4.9,-0.009,-1.201
Battery Level (%),50000,54.5791,55.0,90.0,26.0339,677.7634,10.0,32.0,77.0,99.0,89.0,-0.0004,-1.207
Temperature (°C),50000,32.4503,32.4,43.1,7.2167,52.0812,20.0,26.2,38.7,45.0,25.0,0.0065,-1.1976
Connected Duration (min),50000,29.8554,30.0,10.0,16.9953,288.8412,1.0,15.0,45.0,59.0,58.0,0.0082,-1.196
Handover Count,50000,2.0042,2.0,4.0,1.4177,2.0099,0.0,1.0,3.0,4.0,4.0,-0.0033,-1.3078
Data Usage (MB),50000,254.3811,252.975,80.99,140.989,19877.9075,10.0,133.2375,376.425,500.0,490.0,0.0107,-1.1913
Video Streaming Quality,50000,3.0,3.0,4.0,1.4159,2.0049,1.0,2.0,4.0,5.0,4.0,-0.005,-1.303
Ping to Google (ms),50000,54.9471,55.0,27.1,25.9835,675.143,10.0,32.4,77.4,100.0,90.0,-0.0012,-1.2
